ID,Age,Education,Marital Status,Income,Kid home,Teen home,AlcLiquidAmount,VegAmount,MeatAmt,FishAmt,ChocolateAmt,CommoditiesAmt,Country,LeadConvo
10766,58,PhD,Married,"65,526.00",1,1,30,0,11,0,0,3,SP,0
10757,55,PhD,Divorced,"28,420.00",0,1,378,97,259,197,194,34,CA,0
10755,46,2nd Cycle,Married,"23,718.00",0,0,792,86,740,67,51,17,SA,0
10749,31,Graduation,Single,"8,028.00",0,0,410,73,747,76,161,30,CA,0
10742,39,PhD,Married,"86,580.00",1,0,6,8,19,16,4,4,SP,1
10741,71,Master,Together,"47,352.00",0,1,208,7,82,30,66,35,SP,0
10738,71,Master,Single,"49,389.00",0,1,162,6,37,6,13,13,SP,0
10736,51,Graduation,Single,"72,258.00",1,0,19,1,20,16,14,28,AUS,0
10735,51,Graduation,Single,"22,804.00",0,0,829,138,430,60,92,15,SA,0
10727,52,PhD,Married,"69,084.00",1,1,27,0,12,0,1,5,SP,0
10722,49,Graduation,Together,"55,593.00",0,1,14,0,3,0,0,4,SP,1
10711,77,Graduation,Married,"69,755.00",1,0,14,0,2,0,0,7,SA,0
10710,43,Graduation,Married,"7,500.00",0,0,551,137,792,179,103,33,SP,0
10708,44,2nd Cycle,Single,"36,975.00",0,0,291,10,689,84,10,0,SP,0
10704,53,Graduation,Single,"54,803.00",0,1,138,3,38,4,0,59,GER,0
10703,47,Master,Single,"46,098.00",1,1,182,4,33,0,2,42,SP,0
10702,38,Graduation,Single,"52,413.00",0,1,53,0,8,0,0,2,SP,0
10701,49,Graduation,Married,"65,308.00",1,1,56,0,14,0,0,2,SP,2
10699,37,Graduation,Married,"44,322.00",0,0,524,0,134,28,28,155,AUS,0
10691,62,Master,Married,"28,520.00",1,2,733,9,180,12,19,66,SA,0
10686,57,PhD,Together,"34,230.00",0,0,882,29,514,38,29,44,SP,0
10681,52,2nd Cycle,Married,"62,466.00",1,0,171,7,171,25,19,89,SA,0
10680,36,Graduation,Together,"33,235.00",0,0,1218,107,304,23,143,33,SP,0
10678,63,Graduation,Together,"71,232.00",1,0,6,10,21,19,14,42,SP,0
10676,40,Graduation,Married,"63,211.00",1,1,45,12,52,25,22,13,SA,0
10675,66,PhD,Married,"66,334.00",1,0,19,3,19,3,1,3,SP,0
10673,46,PhD,Married,"68,397.00",2,1,27,0,5,0,0,3,SP,0
10669,41,Graduation,Married,"54,386.00",0,1,376,0,38,11,8,69,SP,0
10664,73,Master,Widow,"51,529.00",1,1,247,8,160,6,8,65,SP,0
10660,65,Master,Married,"66,726.00",1,1,12,1,6,0,1,5,SA,1
10659,43,2nd Cycle,Together,"7,500.00",0,0,962,61,921,52,61,20,CA,0
10652,65,Master,Together,"65,487.00",1,1,43,5,28,7,6,33,SP,0
10648,40,2nd Cycle,Together,"66,664.00",1,1,231,7,137,4,15,39,SA,0
10643,35,PhD,Single,"42,000.00",0,1,162,50,100,55,30,27,SP,0
10642,33,Graduation,Single,"30,279.00",0,1,833,80,363,52,26,174,CA,0
10641,44,Graduation,Single,"7,500.00",0,0,693,21,925,31,24,84,SA,0
10640,48,Graduation,Together,"44,392.00",1,2,151,7,89,0,7,28,SA,0
10637,58,Graduation,Married,"40,800.00",0,1,581,49,157,43,8,108,SP,0
10634,71,Master,Married,"59,412.00",1,1,24,1,10,2,0,4,SA,0
10623,61,Master,Together,"48,330.00",0,1,154,22,202,39,30,8,SP,0
10619,28,Graduation,Single,"95,529.00",1,1,6,2,9,2,1,5,SP,1
10617,33,Master,Divorced,"10,979.00",0,0,547,99,812,151,82,33,CA,0
10613,64,PhD,Together,"37,334.00",0,1,293,35,179,46,59,65,IND,0
10609,60,PhD,Married,"42,769.00",0,1,265,199,303,234,9,170,CA,0
10602,39,Graduation,Married,"39,922.00",0,1,587,43,337,42,87,54,SA,0
10598,55,Graduation,Together,"27,943.00",0,0,754,160,625,63,32,48,SA,0
10595,32,Graduation,Married,"30,093.00",0,0,783,30,537,140,76,15,IND,0
10591,53,Graduation,Widow,"43,638.00",0,2,598,16,141,32,41,49,CA,0
10590,66,PhD,Together,"76,542.00",0,0,1,9,7,2,14,10,IND,0
10584,46,Graduation,Married,"65,665.00",1,1,77,2,35,0,1,69,SA,0
10582,43,Graduation,Married,"72,063.00",1,1,41,0,10,0,0,3,IND,0
10581,45,Graduation,Married,"41,124.00",0,1,520,42,98,0,42,14,US,0
10573,69,Graduation,Divorced,"62,551.00",0,1,44,2,11,2,3,7,SP,1
10562,76,Master,Married,"66,835.00",1,0,10,6,11,0,4,2,SP,0
10560,42,PhD,Single,"36,802.00",0,1,315,4,62,41,31,146,SP,0
10556,63,Graduation,Married,"54,984.00",0,1,322,3,50,4,3,42,IND,1
10552,43,2nd Cycle,Married,"54,210.00",1,1,40,0,19,2,1,3,AUS,0
10548,27,Graduation,Single,"71,163.00",1,0,6,10,21,19,14,42,AUS,0
10542,54,PhD,Married,"36,778.00",0,0,496,36,460,189,60,12,GER,0
10536,51,PhD,Together,"32,892.00",0,0,635,114,254,132,152,76,SP,0
10530,63,PhD,Widow,"67,786.00",1,0,141,8,129,3,11,47,SA,0
10525,36,Graduation,Single,"26,576.00",0,0,675,11,400,15,45,11,SA,1
10524,59,Master,Divorced,"49,476.00",1,1,5,6,10,6,5,10,SP,0
10521,45,Graduation,Married,"54,809.00",1,1,81,18,113,47,13,21,SA,0
10513,30,Graduation,Together,"63,207.00",0,2,35,0,4,0,0,10,SP,1
10509,67,Master,Single,"36,927.00",0,1,371,159,194,58,106,141,SP,0
10507,45,2nd Cycle,Divorced,"59,601.00",1,0,14,10,29,4,7,15,SP,1
10505,62,Master,Together,"73,113.00",1,0,17,0,14,7,3,2,CA,0
10500,38,Graduation,Married,"31,761.00",0,0,358,108,413,141,97,32,SP,0
10492,63,Graduation,Together,"38,285.00",0,0,713,0,264,120,80,34,US,0
10490,53,PhD,Married,"51,039.00",1,1,42,0,17,0,0,18,SA,0
10489,49,Graduation,Married,"92,955.00",0,1,3,3,3,15,4,15,IND,2
10486,74,Graduation,Married,"77,142.00",0,0,9,1,2,3,2,0,CA,0
10479,47,PhD,Married,"76,618.00",1,0,3,18,26,11,8,12,GER,0
10478,72,PhD,Married,"55,517.00",0,1,123,1,26,2,0,72,SP,0
10477,49,PhD,Together,"39,435.00",2,1,406,0,30,0,0,8,CA,0
10476,64,Graduation,Married,"67,267.00",1,0,29,1,17,0,3,13,SP,0
10473,66,PhD,Widow,"78,028.00",1,1,31,1,13,7,2,9,SP,2
10470,43,Master,Married,"40,662.00",0,1,1063,89,102,16,12,25,SP,0
10469,41,Graduation,Together,"88,325.00",1,0,2,5,12,4,8,7,GER,0
10466,57,Graduation,Married,"44,393.00",0,1,513,14,154,19,0,28,SA,0
10451,57,Graduation,Together,"29,672.00",0,0,960,64,464,146,0,16,SA,0
10448,66,Graduation,Single,"46,998.00",0,0,577,0,64,0,0,51,GER,1
10446,65,PhD,Married,"82,017.00",0,0,68,0,226,51,157,68,CA,3
10432,48,Graduation,Divorced,"19,346.00",0,0,530,117,678,134,44,147,SP,0
10430,49,Graduation,Divorced,"89,694.00",2,0,8,3,22,21,1,13,SA,3
10424,54,Graduation,Single,"75,922.00",1,1,11,0,10,0,2,20,SP,0
10420,67,Master,Divorced,"46,390.00",1,0,746,8,125,11,8,8,SP,0
10413,38,Graduation,Married,"72,570.00",0,1,108,1,28,13,1,4,SA,0
10403,44,Graduation,Together,"16,531.00",0,0,387,68,569,89,45,68,SA,0
10402,55,Graduation,Married,"35,441.00",0,0,456,19,832,75,118,38,SA,0
10401,46,2nd Cycle,Together,"26,326.00",0,1,1245,33,332,21,33,16,AUS,0
10398,41,2nd Cycle,Single,"24,336.00",0,0,423,42,706,73,197,197,CA,0
10395,36,Basic,Single,"8,940.00",0,0,576,172,961,125,115,19,SP,0
10394,38,Graduation,Married,"90,000.00",1,0,2,13,6,7,5,11,CA,3
10390,63,2nd Cycle,Married,"26,887.00",0,0,476,75,162,29,151,97,SP,0
10383,56,Graduation,Divorced,"70,287.00",1,0,5,7,24,19,14,20,IND,0
10381,43,Graduation,Single,"47,691.00",1,2,416,0,26,0,0,4,SP,0
10380,50,Master,Married,"37,787.00",0,1,397,46,288,20,38,70,SP,0
10379,60,Master,Single,"59,247.00",1,1,26,0,8,0,0,3,SA,0
10377,64,Master,Together,"46,692.00",0,1,226,22,133,41,31,31,SP,0
10364,63,Graduation,Divorced,"23,295.00",0,0,1184,102,673,52,40,40,SP,0
10356,65,PhD,Divorced,"41,437.00",0,1,87,13,34,10,6,10,SP,0
10352,59,Graduation,Widow,"34,213.00",0,2,81,4,33,5,2,291,SP,0
10350,72,PhD,Married,"54,432.00",0,1,19,13,18,10,7,8,SP,0
10343,31,2nd Cycle,Single,"61,618.00",0,0,40,15,15,17,6,7,AUS,0
10341,74,Graduation,Together,"51,315.00",1,0,60,51,87,6,20,51,CA,0
10340,38,Graduation,Together,"35,196.00",0,0,1132,134,384,175,134,115,US,0
10323,70,Graduation,Married,"49,413.00",0,1,135,9,39,4,0,7,GER,0
10319,51,Graduation,Married,"66,303.00",1,0,2,0,8,2,2,3,SP,1
10314,74,PhD,Married,"83,837.00",1,0,0,4,7,11,10,15,SP,2
10313,47,Graduation,Married,"48,178.00",0,1,371,17,238,23,24,106,SA,0
10311,53,Graduation,Married,"4,428.00",0,0,448,21,125,52,101,62,SP,0
10307,66,Graduation,Married,"50,387.00",0,1,729,17,133,11,0,195,SA,0
10304,63,Graduation,Married,"18,690.00",0,0,1478,19,403,0,19,0,SP,0
10299,53,PhD,Single,"48,240.00",0,1,582,0,65,0,0,13,SP,0
10286,60,Graduation,Married,"83,715.00",0,0,5,4,5,4,2,10,GER,0
10281,52,Graduation,Divorced,"64,713.00",0,1,116,6,82,6,6,41,CA,0
10277,61,Graduation,Single,"30,081.00",0,0,871,111,704,145,55,166,SA,0
10270,41,2nd Cycle,Married,"35,523.00",0,0,395,15,263,60,54,38,SA,0
10264,43,Graduation,Divorced,"15,287.00",0,0,1259,172,815,97,148,33,CA,1
10262,42,Graduation,Married,"15,072.00",0,1,1492,38,287,50,57,33,CA,0
10260,57,Master,Together,"45,143.00",2,1,68,1,13,3,5,13,SP,0
10258,57,Master,Single,"35,791.00",0,1,595,23,123,10,23,154,SP,0
10250,75,Basic,Together,"28,389.00",0,0,709,93,374,104,80,80,AUS,0
10245,36,2nd Cycle,Single,"80,910.00",0,1,9,7,13,3,2,20,SP,0
10242,56,PhD,Together,"47,472.00",0,0,504,13,131,8,0,26,SP,0
10241,47,2nd Cycle,Divorced,"11,448.00",0,0,1156,120,915,94,144,96,SA,0
10240,73,Graduation,Together,"69,372.00",1,1,9,3,15,2,3,2,GER,2
10236,47,Master,Single,"31,160.00",0,0,597,166,597,172,166,249,AUS,0
10232,59,PhD,Divorced,"48,799.00",0,1,376,4,94,12,9,24,AUS,0
10219,50,Graduation,Together,"31,590.00",0,0,587,51,932,180,34,86,SP,0
10212,36,Master,Together,"42,386.00",0,0,618,15,106,20,7,45,SP,0
10207,44,Graduation,Together,"22,775.00",0,0,594,51,631,72,55,32,IND,0
10203,32,Graduation,Single,"26,095.00",0,0,881,38,319,16,25,12,SP,0
10196,44,Graduation,Married,"71,427.00",0,1,80,1,37,0,1,3,SP,0
10177,68,Graduation,Divorced,"72,071.00",1,0,33,4,24,4,2,5,IND,0
10176,54,Graduation,Single,"57,107.00",2,1,14,0,1,0,0,1,SP,2
10175,64,PhD,Divorced,"32,173.00",0,0,412,12,546,78,182,0,CA,0
10172,34,Graduation,Single,"68,655.00",0,0,21,1,9,7,3,5,SP,0
10164,64,Graduation,Single,"94,472.00",0,0,0,0,2,3,3,8,SP,2
10163,38,PhD,Single,"82,733.00",1,0,14,0,23,4,5,19,GER,0
10160,66,Master,Together,"50,943.00",0,0,212,5,33,7,0,2,IND,0
10159,52,Graduation,Divorced,"58,710.00",1,0,513,7,133,46,14,14,AUS,0
10157,57,Graduation,Single,"59,686.00",1,0,327,9,125,25,4,139,CA,0
10156,47,Graduation,Single,"84,196.00",1,0,2,5,9,28,6,28,SP,0
10151,62,Graduation,Divorced,"62,204.00",0,1,315,0,31,4,0,91,SP,0
10150,61,Graduation,Single,"86,429.00",1,0,7,10,13,16,0,4,SP,1
10146,50,PhD,Together,"38,887.00",0,1,381,35,172,56,86,93,SP,0
10144,46,Graduation,Together,"51,369.00",0,1,98,1,17,0,1,5,SA,0
10142,46,PhD,Divorced,"66,476.00",1,1,18,2,10,0,0,25,SP,0
10141,62,Master,Divorced,"39,228.00",0,1,509,0,27,0,0,10,SA,0
10140,39,PhD,Together,"70,123.00",0,1,8,2,4,0,0,1,SP,2
10133,52,Graduation,Single,"93,790.00",1,0,13,3,8,7,4,16,GER,3
10129,56,Graduation,Together,"82,427.00",1,0,10,7,19,8,2,21,SA,1
10128,64,Graduation,Together,"53,977.00",0,1,229,5,56,3,2,20,SP,0
10127,57,Graduation,Married,"58,692.00",1,1,23,1,6,0,0,2,SA,0
10120,67,Graduation,Together,"38,946.00",1,0,218,63,282,137,35,70,SP,0
10104,48,Graduation,Together,"33,590.00",0,0,1308,0,396,23,0,0,IND,0
10102,56,Graduation,Widow,"79,946.00",1,0,1,3,6,10,0,9,SA,0
10099,38,Graduation,Married,"55,434.00",1,1,9,0,16,6,6,10,SP,0
10095,47,PhD,Divorced,"74,165.00",2,1,5,0,3,0,0,5,CA,0
10092,68,Graduation,Divorced,"70,044.00",1,0,72,7,58,13,1,24,CA,0
10091,66,Graduation,Single,"60,230.00",0,1,213,2,44,0,2,5,SP,0
10089,48,Graduation,Divorced,"102,692.00",0,0,0,0,0,6,2,6,SP,4
10084,50,Graduation,Married,"24,434.00",0,0,658,80,483,123,13,13,SP,0
10069,34,Basic,Together,"13,724.00",1,0,0,1,3,10,6,9,CA,1
10067,46,2nd Cycle,Together,"25,176.00",0,1,1396,0,322,46,35,17,SP,0
10065,52,2nd Cycle,Married,"15,315.00",0,0,217,76,690,50,26,38,CA,0
10061,72,Graduation,Married,"59,462.00",1,0,186,36,234,86,72,48,SA,0
10057,71,Graduation,Single,"72,282.00",1,1,11,0,5,0,0,1,SA,0
10037,29,Graduation,Single,"74,293.00",0,0,10,12,12,25,1,20,IND,0
10033,49,2nd Cycle,Divorced,"31,163.00",0,0,322,53,899,34,40,53,SP,0
10032,46,Graduation,Divorced,"12,571.00",0,0,594,134,786,33,134,57,SP,0
10031,46,PhD,Married,"16,927.00",0,0,600,20,350,29,30,33,IND,0
10022,49,PhD,Single,"54,466.00",1,1,52,0,9,0,0,1,SP,0
10010,69,PhD,Divorced,"36,957.00",0,0,398,96,447,220,96,32,SA,0
10001,37,2nd Cycle,Together,"7,500.00",0,0,493,183,352,184,23,28,SP,0
9999,57,Graduation,Together,"75,276.00",1,1,9,1,3,0,4,8,SA,0
9988,46,Master,Single,"70,379.00",1,0,20,2,14,3,0,10,SP,0
9986,40,Graduation,Together,"19,444.00",1,2,433,89,650,16,102,102,US,0
9984,41,2nd Cycle,Married,"56,337.00",1,1,96,1,79,7,1,79,IND,2
9977,49,Graduation,Divorced,"78,901.00",1,0,9,4,18,7,5,5,AUS,0
9974,48,Graduation,Married,"30,631.00",0,0,1067,138,750,0,19,39,SP,0
9973,59,Graduation,Married,"50,437.00",1,1,160,15,196,15,11,50,US,0
9972,67,PhD,Together,"46,015.00",0,1,356,80,329,138,17,106,SP,2
9971,58,PhD,Married,"65,526.00",1,1,38,4,22,4,2,20,SA,0
9970,45,Graduation,Together,"55,375.00",1,0,29,0,29,0,5,4,SA,0
9967,48,Graduation,Divorced,"53,034.00",0,2,370,9,92,6,9,4,SP,0
9964,43,Graduation,Single,"61,825.00",1,0,393,5,136,7,5,27,SP,0
9960,31,Basic,Single,"26,868.00",0,1,425,115,292,23,35,79,CA,0
9958,50,Graduation,Married,"65,685.00",1,1,23,2,17,2,1,0,IND,0
9955,68,Graduation,Together,"39,898.00",1,1,457,5,106,15,17,53,IND,0
9952,75,Master,Together,"78,093.00",2,0,1,1,5,0,3,1,SP,0
9949,46,Graduation,Married,"59,809.00",1,0,8,0,9,2,1,3,SP,0
9940,64,Graduation,Together,"64,961.00",1,0,11,0,36,15,5,12,US,0
9938,68,Graduation,Married,"80,067.00",1,0,4,19,9,28,25,17,SA,1
9937,43,Graduation,Single,"70,337.00",1,1,135,1,41,10,1,67,SP,0
9931,59,PhD,Married,"4,023.00",0,0,448,71,951,40,17,17,SP,0
9930,78,PhD,Single,"82,716.00",1,0,4,0,16,17,4,4,IND,0
9925,41,PhD,Together,"39,665.00",0,1,423,184,368,13,97,21,IND,1
9923,50,Master,Single,"46,423.00",0,1,34,1,19,2,7,0,CA,0
9916,68,Graduation,Married,"38,998.00",0,0,539,169,816,20,0,30,SP,0
9909,26,2nd Cycle,Married,"7,500.00",0,0,817,183,797,106,163,20,SP,0
9907,53,Master,Together,"66,476.00",1,1,11,1,2,2,1,6,IND,0
9905,70,Graduation,Together,"34,074.00",1,0,5,17,17,13,14,34,SP,1
9904,66,Graduation,Married,"71,391.00",1,0,12,6,2,11,2,16,SP,0
9888,53,Graduation,Together,"68,695.00",1,0,63,3,67,8,9,28,SA,0
9862,53,Graduation,Together,"21,918.00",0,0,324,132,693,27,118,88,SP,0
9860,63,Graduation,Together,"44,911.00",0,1,298,7,68,4,0,19,SA,0
9855,70,PhD,Single,"62,000.00",1,0,32,34,41,73,16,116,CA,1
9850,50,2nd Cycle,Married,"24,884.00",0,0,667,50,850,21,83,83,SP,0
9847,67,2nd Cycle,Married,"62,972.00",0,1,270,3,27,39,6,99,US,0
9829,44,Graduation,Together,"28,587.00",0,0,610,105,125,137,42,21,SP,0
9826,50,PhD,Single,"86,857.00",1,0,9,0,5,0,0,7,SP,0
9817,52,Master,Single,"44,802.00",0,1,895,10,101,13,0,152,GER,0
9805,69,Master,Together,"56,129.00",0,1,172,41,86,45,6,27,SP,0
9799,54,PhD,Divorced,"83,664.00",1,0,4,1,6,4,1,9,SP,0
9797,66,Graduation,Married,"58,116.00",0,0,219,3,60,12,9,12,CA,0
9790,65,Graduation,Single,"78,499.00",1,0,4,7,15,13,9,15,SP,1
9780,51,Master,Together,"71,499.00",1,0,38,0,12,3,1,1,CA,0
9771,34,2nd Cycle,Single,"23,331.00",1,0,1218,16,272,104,0,80,AUS,0
9760,59,PhD,Widow,"52,278.00",0,1,544,13,85,8,6,29,SP,0
9757,50,Graduation,Together,"84,906.00",1,0,2,3,12,3,5,7,CA,3
9750,61,PhD,Divorced,"64,325.00",1,1,15,0,2,0,0,6,SP,0
9743,67,Graduation,Married,"76,998.00",1,0,0,7,5,26,2,17,GER,1
9739,59,Graduation,Single,"34,377.00",0,0,292,127,635,132,127,165,SP,0
9738,36,Master,Together,"42,386.00",0,1,111,3,28,2,6,15,SP,0
9736,42,Graduation,Married,"41,850.00",1,1,46,4,36,2,2,1,SP,0
9733,44,Basic,Together,"24,882.00",0,1,321,11,309,33,26,34,US,1
9729,67,Graduation,Widow,"58,275.00",0,1,202,5,74,11,5,14,SP,0
9727,65,Graduation,Married,"23,539.00",1,0,1,45,3,4,6,42,SP,0
9725,56,PhD,Together,"28,764.00",0,0,203,35,305,46,17,227,SA,1
9723,62,Graduation,Married,"67,716.00",0,1,157,43,127,68,56,37,SP,1
9710,53,PhD,Divorced,"58,086.00",1,0,30,11,25,29,1,18,SA,0
9707,53,PhD,Married,"55,212.00",1,1,106,27,68,52,7,5,SP,2
9706,48,PhD,Single,"31,560.00",0,1,572,19,286,50,38,248,CA,0
9703,52,PhD,Married,"38,097.00",0,0,240,67,500,199,0,163,CA,1
9701,34,Graduation,Together,"41,883.00",0,1,167,0,43,6,2,13,SA,0
9699,56,Graduation,Divorced,"67,272.00",1,1,29,4,34,2,4,4,SP,0
9697,71,Graduation,Married,"53,790.00",1,0,123,17,171,39,0,30,CA,0
9687,47,Graduation,Single,"73,170.00",1,0,17,0,14,7,3,2,CA,0
9672,52,2nd Cycle,Married,"23,162.00",0,0,209,19,456,160,142,66,SP,0
9671,54,Graduation,Married,"19,514.00",0,0,968,147,842,137,42,210,SP,1
9668,51,Graduation,Married,"18,793.00",0,0,901,31,345,75,31,191,GER,0
9665,65,PhD,Divorced,"54,237.00",0,1,224,2,25,7,0,110,IND,0
9653,47,Graduation,Married,"35,797.00",0,1,618,44,215,0,17,36,SP,0
9648,55,Graduation,Single,"46,904.00",0,1,77,28,31,16,0,4,SP,0
9645,54,Graduation,Married,"64,590.00",0,1,116,6,82,6,6,41,US,0
